ISOTime,flow
25/04/2017,NA
26/04/2017,NA
27/04/2017,NA
28/04/2017,NA
29/04/2017,NA
30/04/2017,NA
01/05/2017,NA
02/05/2017,NA
03/05/2017,NA
04/05/2017,NA
05/05/2017,NA
06/05/2017,NA
07/05/2017,NA
08/05/2017,NA
09/05/2017,NA
10/05/2017,NA
11/05/2017,NA
12/05/2017,NA
13/05/2017,NA
14/05/2017,NA
15/05/2017,NA
16/05/2017,NA
17/05/2017,NA
18/05/2017,NA
19/05/2017,NA
20/05/2017,NA
21/05/2017,NA
22/05/2017,NA
23/05/2017,NA
24/05/2017,NA
25/05/2017,NA
26/05/2017,NA
27/05/2017,NA
28/05/2017,NA
29/05/2017,NA
30/05/2017,NA
31/05/2017,0
01/06/2017,0.105410487
02/06/2017,0.106564411
03/06/2017,0.105410487
04/06/2017,0.106564411
05/06/2017,0.107719728
06/06/2017,0.11119418
07/06/2017,0.115847164
08/06/2017,0.107719728
09/06/2017,0.10310676
10/06/2017,0.095085458
11/06/2017,0.081474145
12/06/2017,0.064674483
13/06/2017,0.042566084
14/06/2017,0.091666764
15/06/2017,0.112355213
16/06/2017,0.122872198
17/06/2017,0.121697453
18/06/2017,0.114681691
19/06/2017,0.110034598
20/06/2017,0.10310676
21/06/2017,0.099661253
22/06/2017,0.200703132
23/06/2017,0.175088178
24/06/2017,0.161385866
25/06/2017,0.160152853
26/06/2017,0.158921886
27/06/2017,0.15769295
28/06/2017,0.158921886
29/06/2017,0.165097324
30/06/2017,0.162620939
01/07/2017,0.180136418
02/07/2017,0.19809837
03/07/2017,0.182674147
04/07/2017,0.183946465
05/07/2017,0.204629136
06/07/2017,0.200703132
07/07/2017,0
08/07/2017,NA
09/07/2017,NA
10/07/2017,0
11/07/2017,0.191629631
12/07/2017,0.192918504
13/07/2017,0.192918504
14/07/2017,0.196799718
15/07/2017,0.196799718
16/07/2017,0.195503533
17/07/2017,0.192918504
18/07/2017,0.190343167
19/07/2017,0.195503533
20/07/2017,0.256479636
21/07/2017,0.21922409
22/07/2017,0.213879865
23/07/2017,0.438389966
24/07/2017,0.748943401
25/07/2017,0.565482071
26/07/2017,0.617271397
27/07/2017,0.612644984
28/07/2017,0.920992203
29/07/2017,0.820331991
30/07/2017,0.667314551
31/07/2017,0.624255886
01/08/2017,0.939653591
02/08/2017,0.484395467
03/08/2017,0.395108922
04/08/2017,0.395108922
05/08/2017,0.357656687
06/08/2017,0.331662533
07/08/2017,0.314363957
08/08/2017,0.323743249
09/08/2017,2.519050558
10/08/2017,2.353196018
11/08/2017,1.043941678
12/08/2017,2.727935442
13/08/2017,3.293901767
14/08/2017,4.687373934
15/08/2017,6.008495872
16/08/2017,2.154534155
17/08/2017,1.017104041
18/08/2017,0.667314551
19/08/2017,0.63838783
20/08/2017,0.587621933
21/08/2017,0.496346044
22/08/2017,0.457216317
23/08/2017,0.421851075
24/08/2017,0.395108922
25/08/2017,0.376127365
26/08/2017,0.360977864
27/08/2017,0.347790195
28/08/2017,0.333257823
29/08/2017,0
30/08/2017,NA
31/08/2017,NA
01/09/2017,NA
02/09/2017,NA
03/09/2017,NA
04/09/2017,NA
05/09/2017,NA
06/09/2017,NA
07/09/2017,NA
08/09/2017,NA
09/09/2017,NA
10/09/2017,NA
11/09/2017,NA
12/09/2017,NA
13/09/2017,NA
14/09/2017,NA
15/09/2017,NA
16/09/2017,NA
17/09/2017,NA
18/09/2017,0
19/09/2017,0.238276835
20/09/2017,0.252233576
21/09/2017,0.28999006
22/09/2017,0.429155071
23/09/2017,0.44774311
24/09/2017,0.372731627
25/09/2017,0.43468192
26/09/2017,0.462958626
27/09/2017,0.371040054
28/09/2017,0.354351761
29/09/2017,0.398616511
30/09/2017,0.341292237
01/10/2017,0.357656687
02/10/2017,0.468745202
03/10/2017,0.438389966
04/10/2017,0.416421423
05/10/2017,0.396860518
06/10/2017,0.388146209
07/10/2017,0.376127365
08/10/2017,0.369352661
09/10/2017,0.360977864
10/10/2017,0.352705356
11/10/2017,0.349424587
12/10/2017,0.339677577
13/10/2017,0.32848343
14/10/2017,0.322170723
15/10/2017,0.325319532
16/10/2017,0.320601941
17/10/2017,0.371040054
18/10/2017,0.423670139
19/10/2017,0.389880365
20/10/2017,0.362644582
21/10/2017,0.341292237
22/10/2017,0.326899587
23/10/2017,0.309724063
24/10/2017,0.308184705
25/10/2017,0.29902392
26/10/2017,0.291487022
27/10/2017,0.295998685
28/10/2017,0.303588251
29/10/2017,0.29902392
30/10/2017,0.28999006
31/10/2017,0.276670401
01/11/2017,0.269387049
02/11/2017,0.272290582
03/11/2017,0.253645849
04/11/2017,0.242432576
05/11/2017,0.234147341
06/11/2017,0.225965527
07/11/2017,0.216546609
08/11/2017,0.208578122
09/11/2017,0.20200927
10/11/2017,0.192918504
11/11/2017,0.189059097
12/11/2017,0.187777406
13/11/2017,0.185221105
14/11/2017,0.176346872
15/11/2017,0.165097324
16/11/2017,0.158921886
17/11/2017,0.154018185
18/11/2017,0.15279723
19/11/2017,0.15036118
20/11/2017,0.14551212
21/11/2017,0.141895029
