ISOTime,Flow,Sal,Temp,TRACE_1,AGE,SS1,SS2,Oxy,Sil,Amm,Nit,FRP,FRP_ADS,DOC,POC,DON,PON,DOP,POP,DOCR,DONR,DOPR,CPOM,GRN,BGA,CRYPT,DIATOM,DINO,DINO_IN
16/06/2017 00:00:00,0.000000,0.371019,14.441165,1.000000,0.000000,19.920136,2.213348,203.292050,59.583545,2.595423,25.233301,0.842154,0.084215,66.666667,225.333333,8.357143,19.419758,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.376130,0.250753,0.250753,0.376130,1.253767,0.189248
17/06/2017 00:00:00,0.000000,0.370879,14.430260,1.000000,0.000000,20.000494,2.222277,203.604610,59.329175,2.592362,25.262844,0.844459,0.084446,66.666667,225.333333,8.357143,19.395961,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.368101,0.245401,0.245401,0.368101,1.227004,0.185208
18/06/2017 00:00:00,0.000000,0.370739,14.419356,1.000000,0.000000,20.080852,2.231206,203.917170,59.074804,2.589301,25.292388,0.846763,0.084676,66.666667,225.333333,8.357143,19.372164,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.360072,0.240048,0.240048,0.360072,1.200242,0.181169
19/06/2017 00:00:00,0.000000,0.370598,14.408452,1.000000,0.000000,20.161211,2.240135,204.229730,58.820433,2.586240,25.321932,0.849067,0.084907,66.666667,225.333333,8.357143,19.348368,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.352044,0.234696,0.234696,0.352044,1.173479,0.177129
20/06/2017 00:00:00,0.000000,0.370458,14.397547,1.000000,0.000000,20.241569,2.249063,204.542290,58.566062,2.583178,25.351476,0.851371,0.085137,66.666667,225.333333,8.357143,19.324571,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.344015,0.229343,0.229343,0.344015,1.146717,0.173089
21/06/2017 00:00:00,0.000000,0.370317,14.386643,1.000000,0.000000,20.321927,2.257992,204.854850,58.311691,2.580117,25.381019,0.853675,0.085368,66.666667,225.333333,8.357143,19.300774,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.335986,0.223991,0.223991,0.335986,1.119954,0.169050
22/06/2017 00:00:00,0.000000,0.370177,14.375738,1.000000,0.000000,20.402286,2.266921,205.167410,58.057320,2.577056,25.410563,0.855980,0.085598,66.666667,225.333333,8.357143,19.276978,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.327958,0.218638,0.218638,0.327958,1.093192,0.165010
23/06/2017 00:00:00,0.000000,0.370037,14.364834,1.000000,0.000000,20.482644,2.275849,205.479970,57.802950,2.573995,25.440107,0.858284,0.085828,66.666667,225.333333,8.357143,19.253181,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.319929,0.213286,0.213286,0.319929,1.066429,0.160970
24/06/2017 00:00:00,0.000000,0.369896,14.353930,1.000000,0.000000,20.563002,2.284778,205.792530,57.548579,2.570933,25.469651,0.860588,0.086059,66.666667,225.333333,8.357143,19.229384,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.311900,0.207933,0.207933,0.311900,1.039667,0.156931
25/06/2017 00:00:00,0.000000,0.369756,14.343025,1.000000,0.000000,20.643361,2.293707,206.105090,57.294208,2.567872,25.499194,0.862892,0.086289,66.666667,225.333333,8.357143,19.205588,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.303871,0.202581,0.202581,0.303871,1.012904,0.152891
