id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
         345,  0.3946396E+06,  0.6463435E+07,     8.339,    10.663
         346,  0.3947284E+06,  0.6463467E+07,    15.207,    18.956
         347,  0.3945687E+06,  0.6463508E+07,    19.280,    24.411
         348,  0.3951166E+06,  0.6463458E+07,    14.703,    18.081
         349,  0.3949636E+06,  0.6463486E+07,    12.814,    15.588
         350,  0.3950127E+06,  0.6463552E+07,    11.913,    14.461
         351,  0.3951560E+06,  0.6463536E+07,    11.780,    14.371
         352,  0.3948106E+06,  0.6463513E+07,    11.336,    13.931
         353,  0.3948694E+06,  0.6463569E+07,    12.198,    14.793
         354,  0.3946575E+06,  0.6463541E+07,    10.051,    12.707
         355,  0.3947262E+06,  0.6463586E+07,    12.917,    15.928
         356,  0.3945829E+06,  0.6463602E+07,    16.360,    20.466
         357,  0.3950521E+06,  0.6463630E+07,    14.358,    17.700
         358,  0.3949186E+06,  0.6463635E+07,    12.442,    15.118
         359,  0.3949440E+06,  0.6463707E+07,    10.034,    12.226
         360,  0.3950665E+06,  0.6463710E+07,     9.955,    12.217
         361,  0.3947851E+06,  0.6463641E+07,    10.964,    13.411
         362,  0.3948216E+06,  0.6463704E+07,    10.207,    12.379
         363,  0.3946516E+06,  0.6463647E+07,     9.739,    12.225
         364,  0.3946992E+06,  0.6463701E+07,    10.773,    13.244
         365,  0.3945768E+06,  0.6463698E+07,    13.644,    16.988
         366,  0.3949585E+06,  0.6463788E+07,    16.348,    20.306
         367,  0.3948471E+06,  0.6463776E+07,    13.873,    16.944
         368,  0.3948641E+06,  0.6463858E+07,     9.391,    11.512
         369,  0.3949666E+06,  0.6463880E+07,     9.530,    11.776
         370,  0.3947357E+06,  0.6463764E+07,    11.920,    14.632
         371,  0.3947617E+06,  0.6463836E+07,     9.298,    11.345
         372,  0.3946244E+06,  0.6463751E+07,    10.259,    12.922
         373,  0.3946593E+06,  0.6463814E+07,     9.524,    11.797
         374,  0.3945569E+06,  0.6463792E+07,    12.208,    15.335
         375,  0.3948722E+06,  0.6463951E+07,    17.074,    21.335
         376,  0.3947788E+06,  0.6463919E+07,    15.832,    19.469
         377,  0.3947883E+06,  0.6464018E+07,     9.395,    11.562
         378,  0.3948794E+06,  0.6464047E+07,     9.707,    12.024
         379,  0.3946852E+06,  0.6463887E+07,    13.678,    16.961
         380,  0.3946973E+06,  0.6463989E+07,     9.422,    11.590
         381,  0.3945918E+06,  0.6463855E+07,    11.850,    15.164
         382,  0.3946063E+06,  0.6463960E+07,     9.830,    12.365
         383,  0.3945153E+06,  0.6463932E+07,    10.143,    13.007
