id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
         209,  0.3932956E+06,  0.6462222E+07,   298.899,  1918.948
         210,  0.3933138E+06,  0.6462375E+07,   291.253,  1839.788
         211,  0.3933814E+06,  0.6462323E+07,  1497.014,  7290.177
         212,  0.3933635E+06,  0.6462180E+07,  9999.000,  9999.000
         213,  0.3933320E+06,  0.6462529E+07,   428.524,  3189.809
         214,  0.3933993E+06,  0.6462466E+07,  1483.977,  6834.880
         215,  0.3933502E+06,  0.6462682E+07,   452.242,  3050.697
         216,  0.3934172E+06,  0.6462609E+07,  2829.036,  9003.874
         217,  0.3933684E+06,  0.6462836E+07,   318.969,  1894.387
         218,  0.3934351E+06,  0.6462752E+07,  6113.711,  9971.732
         219,  0.3933866E+06,  0.6462989E+07,   330.784,  2036.660
         220,  0.3934530E+06,  0.6462895E+07,  8403.799,  9994.957
         221,  0.3934709E+06,  0.6463038E+07,  9999.000,  9999.000
         222,  0.3934493E+06,  0.6462281E+07,   298.125,  1944.449
         223,  0.3934669E+06,  0.6462413E+07,   296.636,  1903.218
         224,  0.3935420E+06,  0.6462340E+07,  2319.576,  8104.958
         225,  0.3935261E+06,  0.6462212E+07,  9999.000,  9999.000
         226,  0.3934845E+06,  0.6462546E+07,   594.460,  4147.031
         227,  0.3935580E+06,  0.6462469E+07,  1649.489,  6522.858
         228,  0.3935021E+06,  0.6462678E+07,   629.506,  4050.620
         229,  0.3935739E+06,  0.6462597E+07,  3719.243,  9306.956
         230,  0.3935198E+06,  0.6462811E+07,   327.706,  2027.553
         231,  0.3935898E+06,  0.6462725E+07,  3000.370,  9609.873
         232,  0.3935374E+06,  0.6462943E+07,   327.991,  2122.625
         233,  0.3936057E+06,  0.6462853E+07,  3159.218,  9683.494
         234,  0.3936216E+06,  0.6462982E+07,  9999.000,  9999.000
         235,  0.3936189E+06,  0.6462272E+07,   234.378,  1617.834
         236,  0.3936331E+06,  0.6462396E+07,   197.638,  1417.596
         237,  0.3936903E+06,  0.6462338E+07,   703.618,  3687.682
         238,  0.3936772E+06,  0.6462204E+07,  9999.000,  9999.000
         239,  0.3936473E+06,  0.6462520E+07,   633.099,  4456.638
         240,  0.3937002E+06,  0.6462458E+07,   702.284,  3669.358
         241,  0.3936615E+06,  0.6462644E+07,   712.732,  4599.482
         242,  0.3937116E+06,  0.6462573E+07,  1620.542,  5841.745
         243,  0.3936757E+06,  0.6462768E+07,   205.445,  1480.973
         244,  0.3937226E+06,  0.6462692E+07,  1508.026,  8861.056
         245,  0.3936899E+06,  0.6462892E+07,   212.836,  1615.693
         246,  0.3937338E+06,  0.6462811E+07,  1069.028,  7304.856
         247,  0.3937460E+06,  0.6462940E+07,  9999.000,  9999.000
         248,  0.3937486E+06,  0.6462271E+07,   195.483,  1380.155
         249,  0.3937575E+06,  0.6462401E+07,   204.862,  1472.745
         250,  0.3938583E+06,  0.6462340E+07,  2300.469,  8380.169
         251,  0.3938563E+06,  0.6462205E+07,  9999.000,  9999.000
         252,  0.3937646E+06,  0.6462511E+07,  8458.460,  9994.492
         253,  0.3938570E+06,  0.6462461E+07,  9999.000,  9999.000
         254,  0.3937728E+06,  0.6462621E+07,  9850.739,  9998.922
         255,  0.3937808E+06,  0.6462735E+07,   200.249,  1533.081
         256,  0.3938442E+06,  0.6462694E+07,  7846.064,  9988.436
         257,  0.3937900E+06,  0.6462859E+07,   180.455,  1514.419
         258,  0.3938487E+06,  0.6462797E+07,  2693.041,  8590.461
         259,  0.3938541E+06,  0.6462910E+07,  9999.000,  9999.000
         260,  0.3939660E+06,  0.6462274E+07,   372.502,  2255.546
         261,  0.3939578E+06,  0.6462401E+07,   306.135,  2018.144
         262,  0.3940639E+06,  0.6462365E+07,  9999.000,  9999.000
         263,  0.3940810E+06,  0.6462236E+07,  9999.000,  9999.000
         264,  0.3940467E+06,  0.6462494E+07,  9999.000,  9999.000
         265,  0.3939121E+06,  0.6462756E+07,   190.312,  1496.354
         266,  0.3939128E+06,  0.6462847E+07,   171.359,  1475.054
         267,  0.3939792E+06,  0.6462816E+07,  7332.749,  9978.396
         268,  0.3939850E+06,  0.6462736E+07,  9999.000,  9999.000
         269,  0.3939735E+06,  0.6462897E+07,  9999.000,  9999.000
         270,  0.3941789E+06,  0.6462327E+07,   361.749,  2194.410
         271,  0.3941528E+06,  0.6462457E+07,   320.676,  2095.747
         272,  0.3942629E+06,  0.6462434E+07,  9999.000,  9999.000
         273,  0.3942961E+06,  0.6462308E+07,  9999.000,  9999.000
         274,  0.3942296E+06,  0.6462559E+07,  9999.000,  9999.000
         275,  0.3940521E+06,  0.6462797E+07,   181.060,  1436.839
         276,  0.3940400E+06,  0.6462866E+07,   160.535,  1392.152
         277,  0.3941094E+06,  0.6462860E+07,  9999.000,  9999.000
         278,  0.3941283E+06,  0.6462795E+07,  9999.000,  9999.000
         279,  0.3940905E+06,  0.6462925E+07,  9999.000,  9999.000
         280,  0.3943800E+06,  0.6462415E+07,   336.867,  2067.785
         281,  0.3943397E+06,  0.6462536E+07,   304.564,  2026.429
         282,  0.3944492E+06,  0.6462531E+07,  9999.000,  9999.000
         283,  0.3944937E+06,  0.6462419E+07,  9999.000,  9999.000
         284,  0.3944048E+06,  0.6462643E+07,  9999.000,  9999.000
         285,  0.3941856E+06,  0.6462859E+07,   156.481,  1297.261
         286,  0.3941600E+06,  0.6462918E+07,   137.078,  1227.934
         287,  0.3942332E+06,  0.6462922E+07,  3494.896,  9781.646
         288,  0.3942623E+06,  0.6462873E+07,  9999.000,  9999.000
         289,  0.3942042E+06,  0.6462971E+07,  7345.829,  9983.797
         290,  0.3945629E+06,  0.6462536E+07,   324.153,  2009.508
         291,  0.3945143E+06,  0.6462639E+07,   298.379,  2018.252
         292,  0.3946228E+06,  0.6462651E+07,  9999.000,  9999.000
         293,  0.3946749E+06,  0.6462557E+07,  9999.000,  9999.000
         294,  0.3945707E+06,  0.6462745E+07,  9999.000,  9999.000
         295,  0.3943099E+06,  0.6462937E+07,   165.041,  1372.237
         296,  0.3942774E+06,  0.6462974E+07,   144.768,  1285.383
         297,  0.3943466E+06,  0.6463000E+07,  5109.057,  9948.550
         298,  0.3943846E+06,  0.6462969E+07,  9999.000,  9999.000
         299,  0.3943087E+06,  0.6463031E+07,  9999.000,  9999.000
         300,  0.3947348E+06,  0.6462672E+07,   376.013,  2273.804
         301,  0.3946792E+06,  0.6462757E+07,   357.342,  2380.826
         302,  0.3947856E+06,  0.6462785E+07,  9999.000,  9999.000
         303,  0.3948529E+06,  0.6462700E+07,  9999.000,  9999.000
         304,  0.3947183E+06,  0.6462870E+07,  9999.000,  9999.000
         305,  0.3944213E+06,  0.6463033E+07,   178.824,  1451.528
         306,  0.3943779E+06,  0.6463057E+07,   154.568,  1337.234
         307,  0.3944488E+06,  0.6463093E+07,  3519.289,  9864.569
         308,  0.3945031E+06,  0.6463070E+07,  8706.419,  9995.664
         309,  0.3943946E+06,  0.6463116E+07,  9060.531,  9996.957
         310,  0.3949037E+06,  0.6462812E+07,   388.356,  2360.673
         311,  0.3948247E+06,  0.6462898E+07,   377.332,  2580.058
         312,  0.3949280E+06,  0.6462938E+07,  9999.000,  9999.000
         313,  0.3950182E+06,  0.6462855E+07,  9999.000,  9999.000
         314,  0.3948378E+06,  0.6463021E+07,  9999.000,  9999.000
         315,  0.3945306E+06,  0.6463131E+07,   181.614,  1455.730
         316,  0.3944655E+06,  0.6463153E+07,   158.122,  1343.162
         317,  0.3945431E+06,  0.6463193E+07,  3322.419,  9719.098
         318,  0.3946230E+06,  0.6463169E+07,  7631.060,  9986.198
         319,  0.3944632E+06,  0.6463217E+07,  8876.225,  9996.156
         320,  0.3950425E+06,  0.6462980E+07,   500.062,  2867.405
         321,  0.3949410E+06,  0.6463060E+07,   519.311,  3447.702
         322,  0.3950027E+06,  0.6463112E+07,  3621.497,  8887.662
         323,  0.3951458E+06,  0.6463039E+07,  9999.000,  9999.000
         324,  0.3948596E+06,  0.6463184E+07,  9999.000,  9999.000
         325,  0.3946355E+06,  0.6463231E+07,   251.898,  1866.037
         326,  0.3945408E+06,  0.6463257E+07,   207.896,  1660.815
         327,  0.3946392E+06,  0.6463284E+07,  1723.263,  8114.085
         328,  0.3947559E+06,  0.6463243E+07,  5318.438,  9917.934
         329,  0.3945224E+06,  0.6463324E+07,  9999.000,  9999.000
         330,  0.3951060E+06,  0.6463171E+07,   325.077,  2009.064
         331,  0.3949213E+06,  0.6463236E+07,   372.782,  2913.222
         332,  0.3950344E+06,  0.6463253E+07,  2384.666,  8510.542
         333,  0.3952098E+06,  0.6463194E+07,  9999.000,  9999.000
         334,  0.3947595E+06,  0.6463296E+07,   264.976,  1954.081
         335,  0.3948589E+06,  0.6463312E+07,  1144.523,  5805.399
         336,  0.3946208E+06,  0.6463350E+07,   234.755,  1833.150
         337,  0.3947064E+06,  0.6463366E+07,  1802.676,  7524.041
         338,  0.3945540E+06,  0.6463419E+07,  9999.000,  9999.000
